# timestamp tx ty tz qx qy qz qw
1777473670.693284 -0.537570 0.309087 0.175730 -0.000000 0.000000 -0.000000 1.000000
1777473670.694729 -0.535740 0.308795 0.178931 0.026451 0.019357 -0.008891 0.999423
1777473670.696072 -0.534738 0.310753 0.179950 0.024070 0.027884 -0.007326 0.999294
1777473670.697140 -0.532862 0.312600 0.183803 0.046121 0.003004 -0.007620 0.998902
1777473670.698338 -0.532333 0.308481 0.186780 0.039115 -0.001709 -0.017676 0.999077
1777473670.699143 -0.532021 0.308442 0.186379 0.027788 -0.011827 -0.016168 0.999413
1777473670.701373 -0.532134 0.306981 0.187327 0.031829 -0.018159 -0.020611 0.999116
1777473670.708876 -0.532024 0.304934 0.185576 0.018836 0.002414 -0.026775 0.999461
1777473670.709020 -0.531410 0.306864 0.185455 0.024773 0.004248 -0.025457 0.999360
1777473670.710258 -0.531917 0.306603 0.185084 0.018778 0.000068 -0.024571 0.999522
1777473670.712548 -0.531498 0.305901 0.185119 0.019496 0.000605 -0.025907 0.999474
1777473670.713732 -0.531920 0.305869 0.185288 0.018220 0.001693 -0.025218 0.999514
1777473670.715078 -0.531790 0.306590 0.184767 0.020274 0.003642 -0.024138 0.999496
1777473670.716519 -0.531832 0.306424 0.184676 0.019392 0.002181 -0.024073 0.999520
1777473670.717893 -0.531577 0.306228 0.184630 0.020054 0.003150 -0.024323 0.999498
1777473670.719313 -0.531860 0.306398 0.184861 0.020649 0.002182 -0.023178 0.999516
1777473670.721143 -0.531749 0.306549 0.184509 0.020929 0.003381 -0.022700 0.999518
1777473670.722385 -0.531734 0.306454 0.184425 0.020389 0.002360 -0.022571 0.999535
1777473670.723306 -0.531568 0.306392 0.184373 0.020850 0.002954 -0.022445 0.999526
1777473670.726739 -0.531711 0.306540 0.184535 0.021719 0.001708 -0.021471 0.999532
1777473670.727509 -0.532026 0.306460 0.184516 0.019979 0.002244 -0.023186 0.999529
1777473670.728825 -0.532046 0.306444 0.184510 0.019805 0.001935 -0.023236 0.999532
1777473670.730561 -0.532026 0.306402 0.184504 0.019714 0.002137 -0.023342 0.999531
1777473670.731869 -0.532142 0.306450 0.184609 0.020013 0.001326 -0.023154 0.999531
1777473670.740686 -0.532096 0.306457 0.184510 0.020105 0.001617 -0.022892 0.999534
1777473670.740843 -0.532143 0.306437 0.184525 0.019903 0.001541 -0.023015 0.999536
1777473670.741608 -0.532155 0.306435 0.184526 0.019812 0.001513 -0.023088 0.999536
1777473670.742807 -0.532195 0.306468 0.184566 0.019911 0.001169 -0.022974 0.999537
1777473670.743784 -0.532129 0.306479 0.184514 0.020219 0.001248 -0.022593 0.999540
1777473670.744596 -0.532160 0.306484 0.184545 0.020172 0.001351 -0.022790 0.999536
1777473670.745918 -0.532176 0.306489 0.184545 0.020100 0.001283 -0.022793 0.999537
1777473670.746873 -0.532173 0.306478 0.184554 0.020139 0.001166 -0.022894 0.999534
1777473670.751117 -0.532130 0.306485 0.184538 0.020368 0.001163 -0.022624 0.999536
1777473670.751147 -0.532152 0.306495 0.184553 0.020333 0.001212 -0.022714 0.999534
1777473670.753054 -0.532163 0.306494 0.184558 0.020297 0.001186 -0.022725 0.999535
1777473670.754471 -0.532167 0.306483 0.184558 0.020301 0.001155 -0.022789 0.999533
1777473670.756553 -0.532146 0.306482 0.184559 0.020419 0.001135 -0.022690 0.999533
1777473670.758718 -0.532154 0.306477 0.184561 0.020399 0.001114 -0.022695 0.999534
1777473670.767414 -0.532161 0.306474 0.184563 0.020424 0.001061 -0.022726 0.999533
1777473670.767466 -0.532155 0.306467 0.184551 0.020360 0.001171 -0.022744 0.999533
1777473670.767574 -0.532147 0.306469 0.184555 0.020441 0.001126 -0.022696 0.999533
1777473670.768680 -0.532149 0.306466 0.184558 0.020430 0.001140 -0.022713 0.999533
1777473670.770578 -0.532155 0.306471 0.184559 0.020448 0.001113 -0.022727 0.999532
1777473670.773078 -0.532152 0.306476 0.184557 0.020446 0.001136 -0.022702 0.999533
1777473670.775425 -0.532158 0.306477 0.184557 0.020474 0.001134 -0.022720 0.999532
1777473670.777592 -0.532156 0.306481 0.184560 0.020491 0.001142 -0.022742 0.999531
1777473670.779427 -0.532157 0.306478 0.184563 0.020476 0.001160 -0.022733 0.999531
1777473670.780444 -0.532162 0.306475 0.184559 0.020468 0.001194 -0.022741 0.999531
1777473670.781704 -0.532163 0.306469 0.184568 0.020424 0.001164 -0.022773 0.999531
1777473670.782957 -0.532165 0.306463 0.184556 0.020388 0.001092 -0.022740 0.999533
1777473670.784165 -0.532164 0.306475 0.184564 0.020360 0.001140 -0.022745 0.999533
1777473670.785640 -0.532155 0.306490 0.184562 0.020360 0.001150 -0.022689 0.999535
1777473670.789730 -0.532155 0.306498 0.184566 0.020312 0.001122 -0.022681 0.999536
1777473670.791196 -0.532155 0.306511 0.184571 0.020311 0.001160 -0.022729 0.999535
1777473670.793052 -0.532149 0.306506 0.184573 0.020275 0.001172 -0.022670 0.999537
1777473670.794602 -0.532149 0.306503 0.184567 0.020224 0.001229 -0.022699 0.999537
1777473670.796252 -0.532146 0.306505 0.184568 0.020205 0.001220 -0.022692 0.999538
1777473670.797518 -0.532137 0.306498 0.184565 0.020181 0.001205 -0.022687 0.999538
1777473670.798583 -0.532135 0.306511 0.184561 0.020211 0.001183 -0.022692 0.999537
1777473670.799543 -0.532131 0.306515 0.184565 0.020202 0.001170 -0.022684 0.999538
1777473670.800686 -0.532128 0.306527 0.184562 0.020210 0.001184 -0.022658 0.999538
1777473670.803247 -0.532122 0.306537 0.184565 0.020208 0.001193 -0.022711 0.999537
1777473670.806018 -0.532116 0.306537 0.184561 0.020218 0.001187 -0.022663 0.999538
1777473670.811681 -0.532115 0.306540 0.184560 0.020197 0.001204 -0.022672 0.999538
1777473670.813601 -0.532112 0.306542 0.184549 0.020223 0.001228 -0.022671 0.999538
1777473670.816204 -0.532109 0.306552 0.184557 0.020230 0.001274 -0.022686 0.999537
1777473670.817284 -0.532106 0.306549 0.184547 0.020278 0.001234 -0.022682 0.999536
1777473670.818712 -0.532109 0.306549 0.184541 0.020231 0.001304 -0.022681 0.999537
1777473670.820509 -0.532108 0.306545 0.184538 0.020258 0.001317 -0.022707 0.999536
1777473670.821398 -0.532107 0.306536 0.184534 0.020271 0.001313 -0.022644 0.999537
1777473670.823211 -0.532108 0.306535 0.184530 0.020281 0.001332 -0.022691 0.999536
1777473670.825902 -0.532106 0.306526 0.184527 0.020273 0.001351 -0.022723 0.999535
1777473670.827416 -0.532105 0.306525 0.184525 0.020292 0.001362 -0.022711 0.999535
1777473670.829806 -0.532104 0.306521 0.184523 0.020287 0.001384 -0.022707 0.999535
1777473670.830858 -0.532106 0.306520 0.184525 0.020256 0.001404 -0.022713 0.999536
1777473670.832070 -0.532105 0.306516 0.184528 0.020300 0.001356 -0.022724 0.999535
1777473670.834187 -0.532110 0.306515 0.184524 0.020287 0.001386 -0.022743 0.999535
1777473670.838440 -0.532105 0.306510 0.184519 0.020291 0.001375 -0.022738 0.999535
1777473670.838732 -0.532108 0.306499 0.184520 0.020275 0.001397 -0.022743 0.999535
1777473670.841036 -0.532106 0.306494 0.184523 0.020319 0.001345 -0.022766 0.999533
1777473670.842926 -0.532106 0.306479 0.184527 0.020283 0.001348 -0.022794 0.999534
1777473670.844825 -0.532111 0.306468 0.184523 0.020293 0.001345 -0.022734 0.999535
1777473670.847705 -0.532110 0.306474 0.184526 0.020279 0.001336 -0.022755 0.999534
1777473670.849448 -0.532106 0.306479 0.184536 0.020355 0.001234 -0.022733 0.999534
1777473670.850562 -0.532105 0.306487 0.184535 0.020351 0.001242 -0.022702 0.999534
1777473670.851894 -0.532108 0.306490 0.184540 0.020388 0.001257 -0.022731 0.999533
1777473670.853062 -0.532108 0.306479 0.184539 0.020399 0.001245 -0.022716 0.999533
