# timestamp tx ty tz qx qy qz qw
1777562841.434777 0.895736 0.804207 0.204993 0.000000 0.000000 0.000000 1.000000
1777562841.437963 0.895861 0.803994 0.195586 0.016044 -0.066803 0.025768 0.997304
1777562841.455082 0.895862 0.803749 0.195599 0.017719 -0.068238 0.023618 0.997232
1777562841.463690 0.895834 0.803757 0.195622 0.017619 -0.068083 0.023620 0.997244
1777562841.472773 0.895862 0.803801 0.195655 0.017597 -0.068217 0.023671 0.997234
1777562841.481498 0.895891 0.803811 0.195657 0.017565 -0.068189 0.023666 0.997237
1777562841.489399 0.895882 0.803760 0.195629 0.017661 -0.068082 0.023683 0.997242
1777562841.498961 0.895869 0.803746 0.195601 0.017783 -0.068165 0.023632 0.997236
1777562841.523496 0.895849 0.803749 0.195612 0.017816 -0.068329 0.023661 0.997223
1777562841.531739 0.895840 0.803792 0.195626 0.017646 -0.068226 0.023706 0.997232
1777562841.570024 0.895859 0.803804 0.195641 0.017659 -0.068231 0.023709 0.997231
1777562841.572148 0.895880 0.803798 0.195643 0.017773 -0.068065 0.023631 0.997243
1777562841.597193 0.895886 0.803782 0.195615 0.017615 -0.068104 0.023675 0.997242
1777562841.604393 0.895857 0.803771 0.195606 0.017728 -0.068061 0.023657 0.997243
1777562841.613774 0.895887 0.803780 0.195652 0.017581 -0.068179 0.023740 0.997236
1777562841.639518 0.895890 0.803749 0.195589 0.017788 -0.068058 0.023644 0.997243
1777562841.647370 0.895909 0.803752 0.195603 0.017734 -0.068103 0.023718 0.997239
1777562841.656069 0.895896 0.803788 0.195616 0.017724 -0.068069 0.023623 0.997243
1777562841.665995 0.895875 0.803796 0.195612 0.017686 -0.068147 0.023657 0.997238
1777562841.690303 0.895900 0.803790 0.195618 0.017694 -0.068051 0.023690 0.997244
1777562841.698377 0.895898 0.803765 0.195580 0.017874 -0.068095 0.023669 0.997238
1777562841.706825 0.895888 0.803772 0.195576 0.017844 -0.068183 0.023585 0.997234
1777562841.717034 0.895873 0.803796 0.195584 0.017882 -0.068060 0.023538 0.997243
1777562841.724293 0.895860 0.803793 0.195583 0.017821 -0.068253 0.023629 0.997229
1777562841.733335 0.895874 0.803790 0.195591 0.017752 -0.068208 0.023660 0.997233
1777562841.742623 0.895913 0.803809 0.195603 0.017756 -0.068105 0.023606 0.997241
1777562841.751367 0.895897 0.803783 0.195574 0.017774 -0.068184 0.023686 0.997233
1777562841.760540 0.895886 0.803776 0.195575 0.017817 -0.068071 0.023649 0.997241
1777562841.772231 0.895875 0.803776 0.195567 0.017791 -0.068182 0.023655 0.997234
1777562841.783448 0.895907 0.803805 0.195599 0.017726 -0.068210 0.023645 0.997233
1777562841.796044 0.895865 0.803803 0.195588 0.017817 -0.068218 0.023619 0.997232
1777562841.819672 0.895916 0.803789 0.195599 0.017820 -0.068053 0.023643 0.997242
1777562841.838912 0.895876 0.803794 0.195583 0.017953 -0.068244 0.023597 0.997228
1777562841.847864 0.895872 0.803825 0.195610 0.017915 -0.068112 0.023542 0.997239
1777562841.866490 0.895892 0.803777 0.195578 0.017956 -0.068024 0.023602 0.997243
1777562841.998992 0.895920 0.803780 0.195593 0.017995 -0.068145 0.023646 0.997233
1777562842.023708 0.895870 0.803779 0.195573 0.017913 -0.068143 0.023585 0.997236
1777562842.031108 0.895886 0.803812 0.195596 0.017979 -0.068216 0.023626 0.997229
1777562842.041081 0.895879 0.803839 0.195601 0.017909 -0.068041 0.023532 0.997244
1777562842.049184 0.895926 0.803832 0.195619 0.017841 -0.068029 0.023517 0.997247
1777562842.057822 0.895904 0.803771 0.195570 0.017968 -0.068069 0.023586 0.997240
1777562842.069723 0.895899 0.803788 0.195553 0.018113 -0.068183 0.023586 0.997230
1777562842.076224 0.895886 0.803822 0.195565 0.018094 -0.068124 0.023483 0.997236
1777562842.085042 0.895877 0.803820 0.195579 0.018008 -0.068006 0.023471 0.997246
1777562842.124810 0.895886 0.803814 0.195588 0.017890 -0.068073 0.023610 0.997240
1777562842.134949 0.895908 0.803836 0.195611 0.017984 -0.067918 0.023567 0.997250
1777562842.142000 0.895901 0.803805 0.195569 0.018076 -0.068061 0.023558 0.997239
1777562842.151496 0.895928 0.803798 0.195570 0.018135 -0.068128 0.023574 0.997233
1777562842.160430 0.895896 0.803779 0.195562 0.018120 -0.068031 0.023600 0.997239
1777562842.170993 0.895892 0.803815 0.195574 0.018006 -0.068056 0.023552 0.997241
1777562842.193085 0.895929 0.803831 0.195604 0.017933 -0.068014 0.023623 0.997243
1777562842.204617 0.895935 0.803813 0.195589 0.017908 -0.067970 0.023719 0.997245
1777562842.225973 0.895893 0.803808 0.195568 0.018013 -0.068256 0.023680 0.997224
1777562842.235604 0.895909 0.803849 0.195587 0.018043 -0.068110 0.023531 0.997237
1777562842.266104 0.895911 0.803778 0.195541 0.018158 -0.068165 0.023591 0.997230
1777562842.273639 0.895905 0.803777 0.195526 0.018203 -0.068197 0.023609 0.997226
1777562842.282442 0.895910 0.803800 0.195555 0.018200 -0.068221 0.023613 0.997225
1777562842.293446 0.895898 0.803825 0.195586 0.018026 -0.068185 0.023636 0.997230
1777562842.313214 0.895911 0.803808 0.195546 0.018259 -0.068071 0.023544 0.997236
1777562842.336723 0.895893 0.803788 0.195537 0.018188 -0.068184 0.023582 0.997228
1777562842.343987 0.895881 0.803789 0.195544 0.018224 -0.068182 0.023602 0.997227
1777562842.356618 0.895911 0.803825 0.195592 0.018146 -0.068119 0.023685 0.997231
1777562842.377047 0.895922 0.803772 0.195549 0.018305 -0.067981 0.023602 0.997239
1777562842.424333 0.895929 0.803777 0.195551 0.018308 -0.067954 0.023606 0.997241
1777562842.430887 0.895939 0.803807 0.195560 0.018219 -0.068121 0.023555 0.997233
1777562842.439099 0.895885 0.803788 0.195537 0.018290 -0.068142 0.023599 0.997229
1777562842.448182 0.895899 0.803796 0.195557 0.018268 -0.068215 0.023607 0.997224
1777562842.456487 0.895912 0.803816 0.195573 0.018229 -0.068054 0.023544 0.997237
1777562842.478136 0.895950 0.803819 0.195583 0.018222 -0.068146 0.023679 0.997228
1777562842.478590 0.895923 0.803768 0.195538 0.018478 -0.068118 0.023544 0.997228
1777562842.485917 0.895924 0.803764 0.195526 0.018422 -0.068264 0.023647 0.997217
1777562842.531905 0.895907 0.803779 0.195541 0.018273 -0.068377 0.023650 0.997212
1777562842.536797 0.895918 0.803789 0.195559 0.018244 -0.068182 0.023603 0.997227
1777562842.558123 0.895947 0.803788 0.195558 0.018478 -0.068032 0.023608 0.997233
1777562842.567016 0.895933 0.803743 0.195522 0.018702 -0.068218 0.023680 0.997214
1777562842.575018 0.895888 0.803740 0.195475 0.018514 -0.068241 0.023629 0.997217
1777562842.586671 0.895905 0.803771 0.195523 0.018500 -0.068315 0.023581 0.997213
1777562842.594182 0.895936 0.803810 0.195559 0.018286 -0.068283 0.023637 0.997218
1777562842.602373 0.895929 0.803784 0.195543 0.018319 -0.068316 0.023633 0.997216
1777562842.614151 0.895933 0.803763 0.195531 0.018472 -0.068310 0.023679 0.997212
1777562842.641000 0.895922 0.803765 0.195516 0.018521 -0.068339 0.023642 0.997210
1777562842.648189 0.895917 0.803768 0.195532 0.018395 -0.068412 0.023699 0.997206
1777562842.673682 0.895946 0.803773 0.195513 0.018444 -0.068199 0.023657 0.997221
1777562842.684892 0.895937 0.803765 0.195481 0.018661 -0.068302 0.023600 0.997211
1777562842.706177 0.895904 0.803773 0.195504 0.018567 -0.068215 0.023568 0.997219
1777562842.715400 0.895928 0.803793 0.195522 0.018545 -0.068321 0.023644 0.997211
1777562842.740458 0.895938 0.803771 0.195493 0.018797 -0.068188 0.023497 0.997219
1777562842.745161 0.895926 0.803753 0.195478 0.018761 -0.068276 0.023646 0.997210
1777562842.753938 0.895935 0.803768 0.195485 0.018653 -0.068347 0.023652 0.997207
1777562842.763991 0.895947 0.803800 0.195520 0.018704 -0.068308 0.023578 0.997210
1777562842.776109 0.895940 0.803813 0.195512 0.018712 -0.068234 0.023594 0.997215
1777562842.781198 0.895931 0.803796 0.195505 0.018776 -0.068125 0.023596 0.997221
1777562842.799295 0.895983 0.803777 0.195510 0.018770 -0.068114 0.023583 0.997222
1777562842.807919 0.895923 0.803741 0.195459 0.018853 -0.068201 0.023619 0.997214
1777562842.830384 0.895944 0.803779 0.195502 0.018849 -0.068210 0.023707 0.997211
1777562842.837844 0.895972 0.803795 0.195523 0.018822 -0.068128 0.023746 0.997216
1777562842.859120 0.895953 0.803748 0.195459 0.018938 -0.068051 0.023679 0.997221
1777562842.867286 0.895978 0.803794 0.195499 0.018803 -0.068107 0.023632 0.997221
1777562842.876870 0.895948 0.803783 0.195499 0.018793 -0.068266 0.023744 0.997207
1777562842.885448 0.895966 0.803786 0.195503 0.018861 -0.068249 0.023676 0.997209
1777562842.896429 0.895983 0.803774 0.195505 0.018899 -0.068192 0.023692 0.997212
1777562842.919942 0.895960 0.803752 0.195461 0.018931 -0.068100 0.023695 0.997217
1777562842.932139 0.895959 0.803794 0.195487 0.018911 -0.068147 0.023651 0.997216
1777562842.951877 0.895985 0.803775 0.195483 0.019017 -0.068084 0.023698 0.997217
1777562842.959407 0.896000 0.803774 0.195473 0.019044 -0.067985 0.023637 0.997224
1777562842.970191 0.895999 0.803749 0.195467 0.019048 -0.068171 0.023727 0.997210
1777562842.990591 0.895964 0.803776 0.195474 0.018956 -0.068369 0.023682 0.997199
1777562842.999156 0.895994 0.803808 0.195499 0.018855 -0.068180 0.023622 0.997215
1777562843.007847 0.895989 0.803769 0.195480 0.018859 -0.068052 0.023655 0.997223
1777562843.016261 0.895988 0.803771 0.195473 0.018938 -0.068067 0.023681 0.997220
1777562843.026707 0.895981 0.803768 0.195457 0.018994 -0.067986 0.023645 0.997225
1777562843.050732 0.895972 0.803793 0.195493 0.018890 -0.068176 0.023683 0.997213
1777562843.060573 0.895996 0.803797 0.195493 0.018803 -0.068007 0.023693 0.997226
1777562843.068832 0.896026 0.803782 0.195506 0.018863 -0.068083 0.023668 0.997221
1777562843.085245 0.895992 0.803768 0.195454 0.019036 -0.068121 0.023632 0.997215
1777562843.097080 0.895973 0.803772 0.195449 0.018991 -0.068175 0.023637 0.997213
1777562843.118419 0.896016 0.803804 0.195494 0.018967 -0.068193 0.023671 0.997211
1777562843.125921 0.896013 0.803791 0.195475 0.019168 -0.068229 0.023673 0.997205
1777562843.135841 0.896034 0.803787 0.195457 0.019208 -0.068085 0.023554 0.997216
1777562843.144738 0.896006 0.803766 0.195450 0.019086 -0.068200 0.023599 0.997210
1777562843.170724 0.896015 0.803817 0.195496 0.018918 -0.067934 0.023572 0.997232
1777562843.178410 0.896019 0.803794 0.195465 0.019113 -0.068038 0.023583 0.997221
1777562843.190301 0.896027 0.803784 0.195474 0.019151 -0.068119 0.023641 0.997213
1777562843.212419 0.895999 0.803805 0.195475 0.018926 -0.068179 0.023566 0.997215
1777562843.224575 0.896010 0.803803 0.195482 0.019009 -0.068170 0.023576 0.997214
1777562843.246440 0.896026 0.803766 0.195437 0.019137 -0.068021 0.023590 0.997221
1777562843.254469 0.896017 0.803769 0.195425 0.019252 -0.068250 0.023629 0.997203
1777562843.276290 0.896020 0.803823 0.195482 0.018923 -0.068098 0.023658 0.997219
1777562843.287759 0.896034 0.803812 0.195446 0.019145 -0.068282 0.023712 0.997200
1777562843.308580 0.896040 0.803790 0.195436 0.019238 -0.068252 0.023614 0.997203
1777562843.317147 0.896019 0.803782 0.195427 0.019054 -0.068205 0.023640 0.997209
1777562843.338977 0.896036 0.803808 0.195452 0.019162 -0.068112 0.023614 0.997214
1777562843.348890 0.896033 0.803778 0.195432 0.019135 -0.068156 0.023585 0.997212
1777562843.369955 0.896005 0.803780 0.195401 0.019257 -0.068245 0.023556 0.997205
1777562843.394414 0.896046 0.803833 0.195454 0.019067 -0.068066 0.023570 0.997220
1777562843.403562 0.896069 0.803802 0.195464 0.019106 -0.068119 0.023655 0.997214
1777562843.424820 0.896037 0.803795 0.195431 0.019250 -0.068183 0.023502 0.997210
1777562843.433206 0.896047 0.803810 0.195456 0.019060 -0.068262 0.023654 0.997205
1777562843.446831 0.896025 0.803797 0.195427 0.019142 -0.068140 0.023602 0.997213
1777562843.469114 0.896068 0.803783 0.195420 0.019262 -0.068102 0.023544 0.997214
1777562843.477442 0.896063 0.803780 0.195407 0.019184 -0.068201 0.023591 0.997208
1777562843.500574 0.896068 0.803816 0.195457 0.019184 -0.068161 0.023649 0.997209
1777562843.510853 0.896068 0.803811 0.195453 0.019055 -0.068126 0.023621 0.997215
1777562843.517584 0.896083 0.803806 0.195443 0.019096 -0.068124 0.023637 0.997214
1777562843.526312 0.896085 0.803801 0.195423 0.019204 -0.068151 0.023603 0.997211
1777562843.535250 0.896057 0.803792 0.195412 0.019261 -0.068064 0.023531 0.997217
1777562843.544420 0.896026 0.803799 0.195407 0.019119 -0.068187 0.023660 0.997209
1777562843.562778 0.896062 0.803837 0.195443 0.019025 -0.068148 0.023643 0.997214
1777562843.572027 0.896057 0.803791 0.195413 0.019231 -0.068316 0.023635 0.997198
1777562843.579304 0.896063 0.803811 0.195415 0.019202 -0.068065 0.023541 0.997218
1777562843.587674 0.896065 0.803781 0.195422 0.019194 -0.068183 0.023687 0.997207
1777562843.596845 0.896070 0.803800 0.195422 0.019144 -0.068048 0.023640 0.997218
1777562843.609217 0.896023 0.803802 0.195400 0.019200 -0.068172 0.023644 0.997209
1777562843.630259 0.896077 0.803809 0.195424 0.019210 -0.068021 0.023635 0.997219
1777562843.640539 0.896089 0.803807 0.195427 0.019110 -0.067985 0.023645 0.997223
1777562843.662692 0.896052 0.803816 0.195426 0.019212 -0.067945 0.023564 0.997226
1777562843.672522 0.896067 0.803835 0.195457 0.019030 -0.068024 0.023605 0.997223
1777562843.681076 0.896056 0.803800 0.195410 0.019285 -0.068109 0.023589 0.997213
1777562843.690701 0.896073 0.803791 0.195390 0.019255 -0.068138 0.023690 0.997209
1777562843.703270 0.896084 0.803805 0.195405 0.019295 -0.067955 0.023509 0.997225
1777562843.724520 0.896051 0.803801 0.195397 0.019167 -0.068241 0.023662 0.997204
1777562843.733085 0.896053 0.803819 0.195406 0.019152 -0.068146 0.023586 0.997213
1777562843.763500 0.896080 0.803842 0.195435 0.019142 -0.068093 0.023573 0.997217
1777562843.784867 0.896083 0.803772 0.195399 0.019240 -0.068177 0.023661 0.997207
1777562843.793000 0.896062 0.803793 0.195393 0.019262 -0.068078 0.023569 0.997216
1777562843.804169 0.896041 0.803809 0.195411 0.019288 -0.068131 0.023560 0.997212
1777562843.831521 0.896089 0.803827 0.195426 0.019122 -0.068266 0.023653 0.997203
1777562843.839679 0.896053 0.803765 0.195363 0.019302 -0.068293 0.023647 0.997198
1777562843.862191 0.896057 0.803825 0.195387 0.019287 -0.068464 0.023603 0.997188
1777562843.884553 0.896049 0.803777 0.195377 0.019233 -0.068425 0.023654 0.997190
1777562843.892436 0.896074 0.803792 0.195384 0.019326 -0.068248 0.023576 0.997203
1777562843.917448 0.896035 0.803790 0.195358 0.019324 -0.068391 0.023520 0.997194
1777562843.934424 0.896049 0.803828 0.195389 0.019229 -0.068417 0.023553 0.997193
1777562843.950550 0.896065 0.803780 0.195372 0.019382 -0.068505 0.023597 0.997183
1777562843.958488 0.896058 0.803794 0.195353 0.019382 -0.068304 0.023595 0.997197
1777562843.981480 0.896029 0.803797 0.195362 0.019296 -0.068508 0.023593 0.997185
1777562843.990390 0.896058 0.803840 0.195389 0.019180 -0.068405 0.023620 0.997194
1777562844.013352 0.896066 0.803763 0.195327 0.019413 -0.068395 0.023634 0.997189
1777562844.066804 0.896068 0.803801 0.195342 0.019339 -0.068357 0.023523 0.997196
1777562844.082695 0.896072 0.803811 0.195371 0.019317 -0.068402 0.023586 0.997192
1777562844.107304 0.896071 0.803777 0.195358 0.019471 -0.068447 0.023658 0.997184
1777562844.113249 0.896077 0.803765 0.195338 0.019458 -0.068329 0.023602 0.997194
1777562844.121382 0.896039 0.803756 0.195314 0.019476 -0.068402 0.023528 0.997190
1777562844.130311 0.896019 0.803780 0.195319 0.019443 -0.068480 0.023588 0.997184
1777562844.139224 0.896041 0.803804 0.195345 0.019461 -0.068561 0.023597 0.997178
1777562844.152950 0.896068 0.803828 0.195382 0.019327 -0.068314 0.023557 0.997198
1777562844.170632 0.896067 0.803768 0.195336 0.019438 -0.068434 0.023636 0.997186
1777562844.189160 0.896022 0.803808 0.195302 0.019401 -0.068576 0.023629 0.997177
1777562844.198076 0.896046 0.803801 0.195358 0.019422 -0.068338 0.023618 0.997194
1777562844.206642 0.896035 0.803793 0.195333 0.019400 -0.068386 0.023653 0.997190
1777562844.216120 0.896079 0.803808 0.195367 0.019447 -0.068380 0.023641 0.997190
1777562844.264141 0.896050 0.803750 0.195310 0.019635 -0.068510 0.023659 0.997177
1777562844.296088 0.896050 0.803753 0.195314 0.019643 -0.068404 0.023609 0.997185
1777562844.318147 0.896032 0.803805 0.195339 0.019660 -0.068426 0.023514 0.997185
1777562844.328516 0.896018 0.803764 0.195327 0.019706 -0.068505 0.023660 0.997175
